,,median,75_per_quantile,25_per_quantile
0,0,-39.15448,-23.72305727,-56.27431583
0,5,-39.422638,-23.45226049,-56.21338272
0,10,-39.285263,-23.49261856,-56.48001957
0,15,-39.78646,-23.6073823,-56.31990433
0,20,-39.621315,-23.66096926,-56.1418829
0,25,-39.8627,-23.63780355,-56.07523441
0,30,-40.02513,-23.56650257,-55.6797123
0,35,-40.3097,-23.71719551,-55.43664551
0,40,-40.134933,-23.71166563,-55.03114033
0,45,-40.07075,-23.45467615,-54.74651909
0,50,-39.891304,-23.50320292,-54.65332127
0,55,-39.42498,-23.57156706,-54.72123051
1,0,-39.451347,-23.7722559,-54.42720318
1,5,-39.40326,-23.82860136,-54.23052979
1,10,-39.405586,-23.31779385,-53.85897064
1,15,-39.252274,-23.24439001,-53.66597366
1,20,-39.24237,-23.04749823,-53.53687191
1,25,-38.96956,-22.87519407,-53.39916134
1,30,-38.54995,-22.72401762,-53.12123489
1,35,-38.13645,-22.40173578,-52.85125542
1,40,-38.0627,-22.34208441,-52.64024925
1,45,-37.993355,-22.249403,-52.47460079
1,50,-37.721245,-22.17299986,-52.32759476
1,55,-37.747406,-22.39185667,-52.28396225
2,0,-37.69268,-22.23432827,-51.7816267
2,5,-37.680653,-22.31965828,-51.64328194
2,10,-37.688137,-22.38597393,-51.5430479
2,15,-37.63813,-22.33933067,-51.15358162
2,20,-37.58737,-22.33097744,-50.89094925
2,25,-37.416836,-22.56008911,-50.45697308
2,30,-36.852646,-22.14240742,-50.15542126
2,35,-36.812904,-22.24606895,-50.16432381
2,40,-36.586044,-22.13983822,-50.60797787
2,45,-36.563156,-22.01797962,-50.07422638
2,50,-36.430458,-21.96232796,-49.99642849
2,55,-36.338326,-21.54297924,-49.88786602
3,0,-36.23652,-21.59585238,-49.83172321
3,5,-36.802242,-22.25315905,-50.19964218
3,10,-37.640877,-22.43823004,-50.95506096
3,15,-38.35589,-22.47216225,-51.60655499
3,20,-38.853573,-22.97792673,-52.06365108
3,25,-39.296127,-23.31741714,-52.77842808
3,30,-39.69173,-23.92622709,-52.81013298
3,35,-40.233612,-24.32858992,-53.35079002
3,40,-40.95131,-24.45996618,-53.65520954
3,45,-41.598457,-24.1206336,-54.1069479
3,50,-42.044918,-24.50019932,-54.72577858
3,55,-42.4153,-24.847188,-54.94560528
4,0,-42.734013,-25.21841288,-55.63362598
4,5,-43.205753,-25.46522045,-55.78992558
4,10,-43.77063,-25.72549486,-55.98291016
4,15,-44.0761,-26.01334906,-56.60692024
4,20,-42.815334,-25.16515779,-55.15581131
4,25,-40.760803,-23.91179466,-53.69316673
4,30,-38.845863,-23.19634056,-52.90040398
4,35,-37.306168,-21.7350812,-51.79736042
4,40,-36.52781,-20.33074951,-50.41529274
4,45,-35.024883,-19.70595074,-49.33816433
4,50,-32.971123,-18.47727108,-48.96270275
4,55,-32.14302,-17.05670261,-47.95371246
5,0,-30.74565,-15.6634903,-46.62688828
5,5,-27.243687,-11.01622415,-43.55031013
5,10,-22.588795,-7.152639031,-40.24225712
5,15,-19.554163,-1.836457849,-36.30440712
5,20,-15.818188,5.095411658,-33.80075073
5,25,-12.626264,10.94297862,-30.18085957
5,30,-7.4411755,17.60010386,-26.05214691
5,35,-2.2893836,23.91938925,-22.96256208
5,40,3.9328985,29.7662611,-19.27929211
5,45,8.902794,36.86766815,-17.11018324
5,50,14.270066,43.87700844,-13.82634568
5,55,18.939152,51.47287369,-10.73069263
6,0,25.07992,59.37537575,-8.111383438
6,5,28.816536,63.74851322,-5.230781198
6,10,32.083885,67.67988777,-3.357683182
6,15,36.537815,71.69476318,0.690579876
6,20,40.233643,75.24382973,4.870880723
