,,median,75_per_quantile,25_per_quantile
0,0,-40.782448,-23.58097935,-57.44255733
0,5,-40.85622,-23.70960903,-57.0086441
0,10,-40.908813,-23.98531199,-56.59916592
0,15,-41.079967,-23.97242022,-56.63771915
0,20,-41.34934,-23.80239868,-56.05424404
0,25,-41.18921,-23.89756632,-55.67010784
0,30,-41.284035,-23.82437086,-54.97226429
0,35,-40.76386,-23.93243742,-54.50811863
0,40,-40.782433,-23.83059406,-54.12052536
0,45,-40.76955,-24.01935244,-53.94880867
0,50,-40.523125,-24.09811544,-53.64804268
0,55,-40.493683,-23.90907574,-53.79966736
1,0,-40.183147,-23.89252377,-53.9097023
1,5,-39.941257,-23.85330343,-53.62003517
1,10,-39.82909,-24.18727589,-53.35981655
1,15,-39.486015,-24.0037632,-53.39590931
1,20,-39.363712,-23.80561972,-53.37713432
1,25,-39.290615,-23.85430717,-53.31580353
1,30,-39.098846,-23.56103134,-52.83209229
1,35,-38.927208,-23.35926199,-52.51680565
1,40,-38.677,-23.15626192,-52.10988808
1,45,-38.421432,-22.76009178,-51.87340641
1,50,-38.12039,-22.71077061,-51.55036259
1,55,-37.88754,-22.66787434,-51.61584282
2,0,-37.793068,-22.55643559,-51.25484657
2,5,-37.14521,-22.50530577,-51.18139648
2,10,-36.83793,-22.90378809,-50.87391472
2,15,-36.625668,-23.38455629,-50.30377197
2,20,-36.65067,-23.54971743,-49.89742851
2,25,-36.550625,-23.41925097,-50.04838181
2,30,-36.702835,-23.72902679,-50.13926697
2,35,-36.641376,-23.20748138,-50.17378616
2,40,-36.617477,-23.5454936,-49.72308922
2,45,-36.32744,-23.55998898,-49.78146839
2,50,-36.209263,-23.37026501,-49.71160221
2,55,-36.388496,-23.02836132,-49.65687656
3,0,-36.288925,-22.99630737,-49.66616535
3,5,-37.111988,-23.88841486,-50.20147324
3,10,-38.066193,-24.35824537,-51.46826744
3,15,-38.770107,-24.5893755,-52.49700928
3,20,-39.84305,-24.95130587,-53.26959419
3,25,-40.527992,-25.88490725,-53.8714323
3,30,-41.24041,-26.72324514,-54.81247234
3,35,-41.88004,-27.16726971,-55.4756918
3,40,-42.425983,-27.23827505,-56.30769444
3,45,-42.99069,-27.43001175,-56.7620573
3,50,-43.653717,-27.39927244,-57.04506111
3,55,-44.48473,-27.79605675,-57.54644489
4,0,-44.91088,-28.38858652,-58.35264587
4,5,-45.400787,-28.7810545,-58.75213814
4,10,-45.75535,-29.39315081,-59.66617393
4,15,-46.130707,-29.27240849,-60.23801327
4,20,-44.8298,-27.75721741,-57.64426613
4,25,-42.781975,-26.24439478,-56.61575508
4,30,-40.84292,-24.76356506,-54.35127544
4,35,-39.63124,-23.32193995,-53.34899044
4,40,-38.119614,-21.7305398,-53.05482101
4,45,-36.584747,-20.21752548,-50.91248035
4,50,-34.640114,-19.07228756,-49.58425331
4,55,-34.19653,-17.88310814,-48.6662035
5,0,-32.666153,-16.40949249,-47.97100639
5,5,-28.455196,-11.91176271,-44.74567032
5,10,-23.991543,-6.972202182,-41.77900791
5,15,-19.448627,-0.39694953,-38.0369873
5,20,-15.6339035,6.710654855,-33.56857491
5,25,-11.492903,12.57322598,-28.73236418
5,30,-6.094673,19.8779521,-25.54518938
5,35,0.005059004,27.7982235,-21.62645626
5,40,5.2382393,36.03242016,-18.12032938
