,,median,75_per_quantile,25_per_quantile
0,0,9.442382,18.88251877,5.061111212
0,5,9.567495,18.92005014,5.008238435
0,10,9.607812,18.98242426,4.963316917
0,15,9.519287,19.16565704,4.892362952
0,20,9.460947,19.27909136,4.895241141
0,25,9.410142,19.14664936,4.851369262
0,30,9.331268,19.0171361,4.814400554
0,35,9.34495,19.0501647,4.796676993
0,40,9.245361,19.13877058,4.742656708
0,45,9.303593,19.08586502,4.73921597
0,50,9.327658,18.91412163,4.667856097
0,55,9.309153,18.85163498,4.634018779
1,0,9.235318,18.86578751,4.563008547
1,5,9.178251,18.7833786,4.500202537
1,10,8.939459,18.64038134,4.470916271
1,15,8.951967,18.67458534,4.416598797
1,20,8.96958,18.69645548,4.36086762
1,25,9.006466,18.67347956,4.316351056
1,30,8.785107,18.63556576,4.311232448
1,35,8.741898,18.51874733,4.3399266
1,40,8.641346,18.45465469,4.277245522
1,45,8.571146,18.20404577,4.205674052
1,50,8.497012,18.1087079,4.248600006
1,55,8.451608,18.07671213,4.21242547
2,0,8.377854,18.34416342,4.179213047
2,5,8.161507,18.2540493,4.137845516
2,10,8.08386,18.18815613,4.083819389
2,15,8.12044,17.77599144,4.035557747
2,20,8.080183,17.1329217,3.971683681
2,25,7.996441,16.9453783,3.929547966
2,30,7.9572043,16.80284595,3.92369616
2,35,7.795658,16.71828413,3.881386399
2,40,7.7023706,16.71200323,3.853437424
2,45,7.7173405,16.38402224,3.858712375
2,50,7.6582594,16.27953005,3.807627499
2,55,7.6702175,16.15176439,3.802476704
3,0,7.60858,16.08095741,3.778506517
3,5,7.5591364,15.90373206,3.782625735
3,10,7.44335,16.13416481,3.797576845
3,15,7.411093,16.16062737,3.806047022
3,20,7.424882,16.22337103,3.794662356
3,25,7.399152,16.32180595,3.76237154
3,30,7.3561206,16.40068483,3.69984293
3,35,7.3098183,16.55042791,3.667779565
3,40,7.2063355,16.62833691,3.64986372
3,45,7.166546,16.66492844,3.661275387
3,50,7.0896053,16.20242453,3.684495807
3,55,7.028327,16.03952527,3.663754284
4,0,6.958447,16.78043175,3.688079655
4,5,6.9931684,16.48233795,3.713923454
4,10,6.9709716,16.39659643,3.688550413
4,15,6.946496,16.06068444,3.671602249
4,20,7.601816,17.70546961,3.742561221
4,25,8.009748,17.69504881,3.835878789
4,30,8.150642,18.4430604,3.995558918
4,35,8.717956,19.37944078,4.148620009
4,40,9.29282,19.77242804,4.256349444
4,45,9.759235,20.22335434,4.332106829
4,50,10.318459,21.23611498,4.61544776
4,55,10.870475,21.88658524,4.87240243
5,0,11.411322,22.48384953,5.040862083
5,5,12.377887,25.06308126,5.519779921
5,10,13.800033,26.89964867,6.061004162
5,15,15.041864,28.21401596,6.451519847
5,20,16.2277,30.63768291,6.996483088
5,25,17.895851,33.22148037,7.587054253
5,30,19.562555,35.68906212,7.991767645
5,35,21.253689,37.34564495,8.539653301
5,40,22.944094,39.85615635,9.260979414
5,45,24.800625,41.92082119,9.960118771
5,50,26.614927,44.02137756,10.69144225
5,55,28.188347,46.75255489,11.28767157
6,0,30.30267,49.58435726,11.72801447
6,5,31.80623,52.24529839,13.07019138
6,10,33.734055,55.39853287,14.38747406
6,15,36.09243,57.72887611,15.72894931
6,20,38.273308,61.07556152,17.50886202
6,25,40.45697,64.11299896,19.18628883
6,30,42.920624,67.04635429,20.75351048
6,35,45.270367,70.25127983,22.35322046
6,40,47.440517,73.10964394,24.19133234
6,45,49.31935,76.3905201,25.79404974
6,50,51.309746,79.61166191,27.18656588
6,55,53.459946,82.63165283,28.83865595
7,0,55.990112,86.206213,30.50496912
7,5,58.425797,89.66216278,32.16205025
7,10,60.80322,93.12516975,34.13719845
7,15,63.413525,96.66207504,35.66261005
7,20,66.50192,99.97701645,37.52198219
7,25,69.60971,103.2939796,39.23605347
7,30,72.502045,106.6451607,40.89043045
7,35,74.94348,110.2337418,42.79785633
7,40,78.03105,113.833828,44.47132778
7,45,81.1626,117.4320889,46.25387096
7,50,83.96916,120.6638069,47.93399715
7,55,87.00482,124.6272049,49.64232731
8,0,90.10576,128.6314125,51.05100441
8,5,91.458694,132.6312828,53.10181522
8,10,95.54767,136.1891479,54.83320522
8,15,98.38673,140.4385605,56.97371483
8,20,102.191055,144.4269829,58.7662611
8,25,106.17398,148.2301445,60.38572979
8,30,110.11657,152.0843506,61.47937775
8,35,113.42522,156.8661041,63.24672031
8,40,116.16855,162.5961227,65.14538193
8,45,120.35033,166.7212601,66.89930153
8,50,124.157745,171.7152061,68.29520607
8,55,127.67108,176.0857773,70.43026352
9,0,131.55629,180.019783,73.20060921
9,5,134.71846,183.2702293,74.85213852
9,10,137.33836,188.0357285,76.6461277
9,15,140.14905,192.1431961,78.04016876
9,20,142.40671,196.566227,79.72005272
9,25,145.45967,201.3599968,81.40021706
9,30,148.7359,205.408989,83.027565
9,35,151.68346,208.8894653,84.91069412
9,40,155.24689,212.154953,86.38515663
9,45,158.63416,215.4249573,87.8110733
9,50,161.42471,218.6991997,89.59954262
9,55,164.82222,222.4552803,91.58076286
10,0,167.76985,226.3023415,93.75216293
10,5,170.663,229.2924423,95.39747238
10,10,173.5563,232.5914154,96.97310066
10,15,175.94794,235.4262543,98.41810799
10,20,178.77281,238.2772484,99.71084023
10,25,180.93213,240.5910492,101.007534
10,30,183.26091,243.7433014,102.3090019
10,35,185.89424,247.2884712,103.0308361
10,40,188.97546,250.5848465,104.6827431
10,45,191.67053,253.8931694,106.2868652
10,50,194.43094,256.5995407,107.2157612
10,55,197.17223,259.5334167,108.1025906
11,0,199.69249,261.9551697,109.088644
11,5,199.42648,264.2134399,110.8299179
11,10,200.73521,266.2484512,111.4223022
11,15,201.41678,268.1277695,112.0271873
11,20,201.86307,270.1815643,112.6998596
11,25,204.40222,271.482399,114.1784439
11,30,205.1114,273.2566833,116.1743031
11,35,205.9884,274.7724304,116.9212055
11,40,206.88028,275.6461945,116.408205
11,45,206.9756,276.4596558,116.5904446
11,50,207.59627,278.0081711,117.3892097
11,55,207.54471,278.8322983,117.3147354
12,0,206.97314,279.8385773,117.5584602
12,5,206.78842,278.9515305,116.7417526
12,10,206.49211,278.3943329,117.3816814
12,15,205.215,277.7116165,116.6812553
12,20,204.11687,277.1779938,116.4673691
12,25,204.05096,276.1151352,116.0798454
12,30,202.9455,275.5744095,115.5752449
12,35,202.25577,274.6792831,115.2006531
12,40,201.31328,273.6841583,114.8230476
12,45,200.76346,272.6889038,114.0935936
12,50,200.39474,271.4390869,113.4226379
12,55,199.64407,270.5856705,112.7519341
13,0,199.12457,269.5636978,112.019146
13,5,198.19255,269.1564789,110.9454288
13,10,197.01418,267.468132,110.5547981
13,15,196.30829,266.4034271,109.8662415
13,20,195.33229,264.7883377,108.7114258
13,25,194.57292,263.5861816,107.8451881
13,30,193.39206,261.9405823,107.1363297
13,35,192.09384,260.6743011,106.5179195
13,40,191.47601,259.3042221,105.8907928
13,45,190.12991,257.5390015,105.2551785
13,50,189.01073,255.7027969,104.6111183
13,55,188.04135,254.0929871,103.8955402
14,0,187.23456,253.1524811,103.1524658
14,5,185.6797,251.403347,102.1309204
14,10,186.11139,249.7521439,101.6190987
14,15,184.00409,247.3114815,100.249876
14,20,182.38853,244.9816704,98.87421608
14,25,180.90509,243.2726059,96.84163666
14,30,179.22197,241.7906761,95.27309418
14,35,177.17926,239.5305176,93.88747025
14,40,174.31766,237.2609787,92.89658165
14,45,171.72351,234.1395226,91.10183716
14,50,170.15216,232.0948257,89.63051796
14,55,168.57133,230.1492691,88.2719574
15,0,166.31357,228.1633759,86.76793289
15,5,162.50394,223.6833954,84.4755497
15,10,158.75723,219.2005196,82.27331352
15,15,155.24422,214.9750671,80.15587997
15,20,151.89987,210.8262634,78.42797852
15,25,148.13873,206.4880295,76.42715645
15,30,144.9747,202.1833649,74.46711731
15,35,141.10243,197.8566132,72.20562553
15,40,137.26485,193.5645943,69.78038025
15,45,134.10828,189.1234322,67.57661057
15,50,131.35245,185.065834,65.81804085
15,55,128.0064,180.3028717,63.64318275
16,0,125.1219,175.7949257,61.5717411
16,5,122.45621,170.9991989,59.94450951
16,10,119.01852,166.5405693,57.78431797
16,15,115.4438,161.7147141,55.67191887
16,20,111.729126,157.2681198,53.46173096
16,25,107.99884,152.3176346,51.27443886
16,30,104.40034,147.7019043,50.21013451
16,35,100.62167,143.1356163,48.51301193
16,40,96.885086,138.9669762,46.27998829
16,45,93.14261,133.7768211,45.05223179
16,50,89.43337,129.2540894,43.84814167
16,55,85.76628,124.6095028,41.07139874
17,0,82.4185,122.0171051,39.2433567
17,5,78.401855,116.3615685,37.6328516
17,10,75.09126,111.2447395,35.54225349
17,15,71.26407,105.9416504,34.40735817
17,20,67.721245,100.9045696,32.28954268
17,25,63.56414,96.25960159,30.4311533
17,30,60.177513,91.36558342,28.71361113
17,35,57.13807,86.01837349,27.58510399
17,40,53.497078,81.31123924,26.00146675
17,45,49.878506,76.78399277,23.61165714
17,50,46.54675,71.70229912,22.16392994
17,55,43.165398,67.22690392,20.0052948
18,0,39.33294,62.99970627,18.9637661
18,5,37.552868,59.90960503,17.96398354
18,10,35.677406,57.73185921,17.00151253
18,15,33.89136,55.21622467,16.13676834
18,20,31.514214,52.79607868,15.76428056
18,25,29.889318,49.78808403,14.35733819
18,30,28.786694,47.37522125,13.86453199
18,35,27.158619,44.91993904,13.35334682
18,40,25.314117,42.25131226,12.53115392
18,45,23.124163,40.12093925,11.6706214
18,50,21.794662,38.25825882,11.2667892
18,55,20.553913,35.52018356,10.83739686
19,0,19.23174,34.09516335,9.911967278
19,5,18.30246,33.48541546,9.360846043
19,10,17.238117,33.04577923,8.981535673
19,15,17.005898,31.6058979,8.7123456
19,20,15.684698,30.99285603,8.547199726
19,25,14.817816,30.76441145,8.413453102
19,30,14.2112875,29.30682039,8.199333906
19,35,14.096773,29.08326864,7.953590631
19,40,13.968399,28.88967657,7.855834484
