,,median,75_per_quantile,25_per_quantile
0,0,12.317194,19.67074108,7.180915833
0,5,12.271712,19.59797812,7.167808533
0,10,12.140568,19.52323437,7.139187455
0,15,11.98177,19.45234442,7.122364759
0,20,11.872321,19.41547871,7.079821229
0,25,11.949974,19.29627562,7.062993169
0,30,11.807865,19.19333982,7.042398095
0,35,11.730219,19.02222204,7.032562137
0,40,11.670191,18.6862483,7.027628303
0,45,11.57778,18.53737259,6.995032668
0,50,11.518888,18.39953518,6.926331878
0,55,11.485215,18.3280735,6.826703429
1,0,11.493019,18.30024433,6.745295167
1,5,11.438282,18.31600809,6.7255162
1,10,11.442366,18.26107264,6.714298606
1,15,11.383915,18.28327942,6.752970457
1,20,11.32695,18.30529404,6.728344083
1,25,11.232342,17.99415588,6.680130005
1,30,11.230164,17.98956919,6.63409853
1,35,11.214087,17.93559694,6.549362421
1,40,11.125635,17.86709833,6.486657143
1,45,11.038179,17.75460005,6.454386473
1,50,10.980515,17.93372822,6.431699514
1,55,10.903335,17.74819136,6.350438237
2,0,10.860767,17.72568083,6.282073855
2,5,10.751536,17.64297199,6.240030169
2,10,10.774179,17.47744274,6.18473649
2,15,10.673097,17.33968687,6.084847331
2,20,10.64548,17.17328405,6.145157933
2,25,10.517528,17.10394716,6.045653582
2,30,10.427774,17.09629822,6.068121195
2,35,10.443876,17.18623686,6.01841557
2,40,10.385391,17.21204042,5.975894094
2,45,10.256466,17.21651697,5.917348385
2,50,10.188118,17.19029808,5.845168114
2,55,10.188076,16.93093061,5.766694188
3,0,10.165583,16.51185846,5.744768143
3,5,10.069499,16.54802227,5.739284039
3,10,9.978406,16.38647223,5.672568679
3,15,9.889692,16.41926813,5.673931122
3,20,9.847807,16.37414408,5.663266182
3,25,9.811818,16.31760693,5.668954492
3,30,9.798567,16.60235548,5.610812426
3,35,9.759218,16.71049643,5.57198143
3,40,9.626888,16.49344206,5.573686361
3,45,9.571159,16.16962194,5.565697312
3,50,9.361026,16.42718267,5.563785195
3,55,9.291232,16.47934341,5.523031592
4,0,9.328207,16.41205788,5.4615345
4,5,9.320323,16.1985364,5.371404648
4,10,9.253401,16.18969965,5.345467567
4,15,9.21308,16.18584347,5.359370708
4,20,9.573132,16.63105822,5.499605536
4,25,9.799556,16.43284464,5.76455915
4,30,10.010466,16.75030661,5.916046858
4,35,10.136387,17.21327639,6.081638336
4,40,10.517329,17.70900059,6.277593851
4,45,10.726654,18.02677393,6.459004402
4,50,11.1396675,18.41310549,6.554407716
4,55,11.474577,18.76787567,6.630037308
5,0,11.696877,19.18401909,6.738708138
5,5,12.1198635,20.45684671,7.365780354
5,10,13.174171,21.72650719,7.92707634
5,15,13.85709,22.92415094,8.405240774
5,20,14.644691,24.48898745,9.035569191
5,25,15.540101,25.69867086,9.759481668
5,30,16.306173,27.22043705,10.2471838
5,35,17.459816,28.59751368,10.84706283
5,40,18.602991,29.95506477,11.4446559
5,45,19.951767,31.3685317,11.63464594
5,50,21.138763,33.19295406,11.81387258
5,55,22.208488,34.73565388,12.26960683
6,0,23.17547,36.25818062,12.83800435
6,5,24.7696,37.67694759,13.81409597
6,10,25.964296,39.4335804,14.66390824
6,15,27.167206,41.43870926,15.68951154
6,20,28.388407,43.20970821,16.43585396
6,25,29.806564,45.06166363,17.6363368
6,30,31.252514,46.73215485,18.707201
6,35,32.955055,48.79473877,19.85251713
6,40,34.4235,50.6041584,20.60277081
6,45,35.896683,52.59737015,22.0796895
6,50,37.615967,54.83120346,23.585464
6,55,38.93599,57.19908524,24.80521441
7,0,40.479683,59.57936478,25.7789278
7,5,42.29039,61.56223392,27.25963593
7,10,44.20546,63.50610828,28.86045694
7,15,46.013218,65.63023949,30.22049809
7,20,47.520744,68.01778221,31.74582672
7,25,49.107357,70.05398941,33.07556725
7,30,50.946472,72.06513786,34.50565624
7,35,52.94842,74.39997101,35.84252548
7,40,54.843857,76.46211815,37.41785908
7,45,56.689697,78.66150665,38.59591198
7,50,58.534462,81.67655563,39.9334898
7,55,60.806202,84.40244102,41.37292004
8,0,62.795403,87.022192,42.79776096
8,5,65.27344,89.66885376,43.56283569
8,10,67.33729,92.61479378,45.18801498
8,15,69.6536,95.88930702,46.52791309
8,20,72.07477,98.77770615,48.26447773
8,25,74.052536,101.3235092,49.34504414
8,30,76.87778,104.1699219,50.32216644
8,35,78.922775,107.1449871,52.18560123
8,40,80.64964,109.8124828,53.24803162
8,45,82.87932,112.34338,54.95834446
8,50,85.65521,114.8545895,55.7378397
8,55,88.41287,118.1490345,57.10185719
9,0,90.84062,121.8482819,59.15724945
9,5,92.850914,124.4806061,60.37776375
9,10,94.95388,127.1129379,61.74604988
9,15,97.09903,129.649353,62.96800709
9,20,99.11811,131.9121933,64.84737396
9,25,101.14317,134.3809013,66.52017403
9,30,103.17679,136.5022926,67.67012024
9,35,105.193474,138.9835663,68.58115005
9,40,107.17013,141.5135231,69.97949028
9,45,109.17099,143.7948647,71.23441124
9,50,111.1416,146.7622185,72.06979561
9,55,113.17803,149.6524734,72.93089867
10,0,115.3842,152.0539131,74.18830299
10,5,117.39316,153.7915115,75.30091858
10,10,119.4095,155.8597298,76.414217
10,15,121.05488,158.2129555,77.16734314
10,20,122.833626,160.8740311,77.98126984
10,25,124.83886,163.0493011,80.03027916
10,30,126.68095,165.0630455,81.31552315
10,35,128.67705,167.0490837,82.38277435
10,40,130.69211,168.8714752,83.45021439
10,45,132.88895,170.9276733,84.48825073
10,50,135.00879,172.9608688,85.34781837
10,55,137.06108,175.31353,86.20701981
11,0,139.08293,177.3299561,87.2520237
11,5,140.51764,178.7700729,88.01581764
11,10,141.28902,179.5485306,89.36450958
11,15,141.71146,180.8230095,90.94351387
11,20,142.40576,181.4011345,91.48286438
11,25,143.0376,182.053112,91.94104958
11,30,143.70096,183.3711891,92.35743904
11,35,144.98096,184.8128433,92.86149216
11,40,145.64374,186.7675018,93.70097733
11,45,146.52737,187.1986427,93.99567032
11,50,147.52588,187.9501305,94.18976021
11,55,147.34203,188.5569534,94.91734695
12,0,148.27399,189.6083221,94.65431023
12,5,147.9472,189.0538673,94.03332329
12,10,147.79279,189.6910973,93.6352272
12,15,147.67004,189.4674759,93.38459587
12,20,147.3544,188.5781517,93.14712715
12,25,146.87119,188.280426,92.90260696
12,30,146.27594,188.4029427,92.65148544
12,35,145.78659,189.1642609,92.39318848
12,40,145.62573,188.191494,92.12816238
12,45,145.23837,188.0034637,91.96078873
12,50,145.12836,187.7487221,91.92778587
12,55,144.95618,187.3957253,92.0488224
13,0,145.00789,186.7773819,91.65494919
13,5,144.21902,185.7370262,91.06476021
13,10,143.52144,184.5010185,91.66896057
13,15,142.93825,183.6958313,91.6624794
13,20,142.48553,181.9800034,91.19712067
13,25,141.78586,181.1477661,90.65807724
13,30,140.9964,180.3709984,90.11157417
13,35,140.143,179.5905991,89.55862617
13,40,139.41225,178.6945801,88.81916046
13,45,138.46518,177.9686241,88.09991837
13,50,137.61711,177.2193222,87.3556881
13,55,136.71043,176.2351799,86.5494442
14,0,136.02525,175.3154449,85.59070969
14,5,134.65773,174.5508766,85.0743084
14,10,133.58112,173.4714966,83.69460106
14,15,132.41742,172.0266838,83.13644409
14,20,131.04962,170.7928314,82.45459175
14,25,129.89005,168.2406502,81.39349556
14,30,129.03326,166.2791939,80.89788055
14,35,127.598465,164.2918167,80.06201172
14,40,126.251205,162.7915535,78.78484154
14,45,124.77832,161.4105568,77.59497833
14,50,124.24135,159.7508163,76.95417786
14,55,123.07261,158.2762375,76.14340973
15,0,121.793945,156.8656273,74.83996201
15,5,119.268684,153.6745567,73.2759037
15,10,116.726715,150.3983498,71.72990227
15,15,114.35273,147.1528854,70.07628059
15,20,112.059044,143.6428223,68.47755051
15,25,109.88179,141.0635338,66.92071533
15,30,107.70175,140.0658188,65.12646484
15,35,105.37956,137.0528603,63.33907795
15,40,102.82687,133.6138382,61.19421291
15,45,101.029,131.0680199,59.28543949
15,50,98.357574,128.2239494,57.46209908
15,55,96.076324,124.8708935,56.36339092
16,0,94.10836,121.4250412,54.94756126
16,5,91.46354,118.9546089,53.31766796
16,10,88.93045,116.0359039,51.85699654
16,15,86.40432,113.6690044,50.57129288
16,20,84.030426,110.3402271,48.48972893
16,25,81.167496,106.9666443,47.20710087
16,30,78.419106,103.505043,45.7332077
16,35,75.97568,100.3447838,44.77798843
16,40,73.61815,97.3381424,42.98635006
16,45,71.19682,93.64977074,41.16764545
16,50,68.4828,90.55022621,39.40438366
16,55,65.76895,87.36790085,38.16738224
17,0,63.435593,84.48328209,36.71967793
17,5,60.732544,80.88368225,35.4742794
17,10,58.29572,77.59045029,34.17352772
17,15,55.559193,74.70855331,33.19912148
17,20,52.953598,72.10651207,32.50244617
17,25,50.403187,69.35071754,31.45897675
17,30,48.385628,66.42622757,29.51684141
