,,median,25_percentile,75_percentile
0,0,-27.671104,-40.46882057,-15.05158377
0,5,-28.01916,-40.3246851,-15.06953359
0,10,-28.00455,-40.08971214,-15.2229352
0,15,-27.931303,-39.90361309,-15.30907536
0,20,-28.186096,-39.49000549,-15.40103197
0,25,-28.31447,-39.48073196,-15.39456487
0,30,-28.297453,-39.45904064,-15.23256946
0,35,-28.17544,-39.24888802,-15.23878884
0,40,-28.208939,-39.14708138,-15.2994523
0,45,-28.032248,-39.05729866,-15.26241684
0,50,-28.064484,-38.88141537,-15.14245605
0,55,-28.031181,-38.75948334,-15.17751813
1,0,-27.874912,-38.70102119,-15.15815592
1,5,-27.807327,-38.37644768,-15.22307038
1,10,-27.595284,-38.25669575,-14.99731565
1,15,-27.389606,-38.17611122,-15.2794044
1,20,-27.225685,-37.94603062,-15.42699623
1,25,-27.294498,-37.95799255,-15.36337209
1,30,-27.212666,-37.68083668,-15.2932117
1,35,-27.183777,-37.63158417,-15.31458592
1,40,-27.115934,-37.53739357,-15.25063276
1,45,-26.936672,-37.45499992,-15.08302402
1,50,-26.430817,-37.35710812,-14.84784794
1,55,-26.221792,-37.28760529,-14.67749572
2,0,-26.064577,-37.20054722,-14.5702877
2,5,-25.831064,-36.82064438,-14.92719936
2,10,-25.749992,-36.64952755,-15.08513021
2,15,-25.67722,-36.48437119,-15.18698525
2,20,-25.6916,-36.56781006,-15.3161931
2,25,-25.835617,-36.57503605,-15.51203942
2,30,-25.651947,-36.84801292,-15.22860265
2,35,-25.53766,-36.60287476,-15.20835876
2,40,-25.341438,-36.42605495,-15.16407704
2,45,-25.089874,-36.29099083,-15.45224357
2,50,-25.028767,-36.12881565,-15.10113692
2,55,-24.92892,-35.69039536,-15.07759833
3,0,-25.099174,-35.6520853,-14.91711855
3,5,-25.42719,-36.46844006,-15.19823432
3,10,-26.037449,-36.85553265,-15.64411092
3,15,-26.615314,-37.23558521,-15.98918533
3,20,-27.228891,-37.59680557,-16.15884495
3,25,-27.79089,-37.90622616,-16.39473343
3,30,-28.289808,-38.2304306,-16.56781101
3,35,-28.771637,-38.57573605,-16.79718447
3,40,-29.11392,-39.17945099,-17.56413507
3,45,-29.563473,-39.86550999,-17.39938354
3,50,-29.874847,-40.40673923,-17.58879042
3,55,-30.204756,-40.77830219,-17.81418896
4,0,-30.62501,-41.11762524,-18.05350018
4,5,-30.94622,-41.3403883,-18.43811035
4,10,-31.27003,-41.71978951,-18.44741869
4,15,-31.597927,-42.22084999,-18.85032272
4,20,-31.193882,-39.93877792,-17.93786097
4,25,-29.896915,-39.1293211,-16.65300655
4,30,-28.9306,-38.12466717,-15.88502216
4,35,-27.12618,-37.95957661,-15.05620956
4,40,-26.206041,-37.13111591,-14.26371002
4,45,-24.354214,-36.2564249,-13.10600019
4,50,-23.49469,-35.37700081,-12.47837973
4,55,-22.835228,-35.29325962,-11.38079238
5,0,-22.233446,-34.77184677,-10.15387702
5,5,-18.68499,-31.90720129,-6.340641856
5,10,-16.425041,-28.65487766,-3.057786942
5,15,-13.194138,-26.19057178,0.861876309
5,20,-10.309827,-23.32196617,6.898510575
5,25,-6.042359,-20.68320513,12.32191873
5,30,-2.4051316,-17.5860548,17.81604433
5,35,1.7221006,-15.17452526,22.90143061
5,40,5.984188,-13.19525576,27.34508562
5,45,10.700456,-9.76691556,33.22083759
5,50,14.824329,-7.47949791,39.01088715
5,55,18.794155,-5.134285569,45.09068871
6,0,23.411507,-3.112230659,51.71677208
6,5,26.015732,-1.273781419,55.08968544
6,10,29.426144,0.247841671,58.16607857
6,15,32.667465,2.952722967,61.02756691
6,20,36.169807,5.191453338,64.06288052
6,25,39.034874,7.598810911,67.04925346
6,30,42.19374,11.21559763,70.16555977
6,35,45.64451,13.76188564,73.50459671
6,40,48.12861,16.54815388,77.35925865
6,45,51.53666,19.79118061,81.13579178
6,50,54.458935,23.09180593,84.95223808
6,55,57.10296,25.49163055,87.77331543
7,0,60.31739,28.54282141,91.33864021
7,5,64.50534,32.03328896,95.51378632
7,10,68.40468,34.84732342,100.5090504
7,15,72.466324,37.90535069,105.3668804
7,20,76.41287,40.33009148,111.0741081
7,25,80.67055,42.93299675,116.3559113
7,30,84.50707,45.53622341,121.5930367
7,35,88.13786,49.55888939,127.1810989
7,40,91.52385,51.82597351,131.5439072
7,45,95.40196,55.42610073,136.1244431
7,50,98.78193,59.00784779,141.3784103
7,55,102.8802,62.17975712,146.0945282
8,0,106.64354,64.49179077,151.8013916
8,5,111.34917,69.12892723,157.9176292
8,10,116.05737,73.45405006,162.8600883
8,15,120.25955,77.16508675,167.2433395
8,20,124.357376,81.01891899,172.9516258
8,25,128.33003,85.20389175,178.1245461
8,30,133.19543,89.88931084,183.2798195
8,35,136.8396,93.87626076,189.7386475
8,40,141.71725,96.87005615,195.1975899
8,45,147.46149,101.8466434,198.2663727
8,50,153.10632,105.9578896,203.1238937
8,55,158.98279,111.1792164,208.4725952
9,0,164.22049,115.2375832,214.2306595
9,5,168.43997,118.4165554,218.0681763
9,10,171.69241,121.6177578,221.6679573
9,15,175.66577,125.0121994,225.4530144
9,20,179.95644,127.5980492,229.3147316
9,25,183.0368,130.3989067,233.2820854
9,30,186.4173,133.4181061,236.8649063
9,35,190.42465,135.4093819,240.7958336
9,40,194.37886,137.5903854,244.6387177
9,45,198.068,139.9015656,248.278141
9,50,202.2356,141.7389259,252.6529922
9,55,205.71054,144.4087448,257.0675049
10,0,208.2896,147.6215363,261.3120575
10,5,210.39851,149.1716919,264.0995026
10,10,212.77815,150.8119125,266.7795029
10,15,214.6135,152.3533478,270.2184753
10,20,217.03311,154.0144539,272.9930038
10,25,219.74396,155.643734,275.6973114
10,30,222.48523,157.2960815,278.5796432
10,35,225.07182,158.6778793,281.5402603
10,40,227.69484,159.8372269,284.3436737
10,45,229.99219,161.4377136,288.1435089
10,50,232.28946,163.0506058,291.3211594
10,55,234.61166,164.6537819,294.0374985
11,0,237.91998,166.1186066,296.670433
11,5,237.16196,165.8495827,294.9885559
11,10,237.43646,167.247036,293.7157364
11,15,237.2052,168.19384,292.8683929
11,20,237.27087,167.435318,293.4388962
11,25,236.631,166.6109695,293.4457092
11,30,234.98526,166.9910049,294.4645157
11,35,234.49785,168.4489441,294.5274582
11,40,234.30801,170.4941673,295.135994
11,45,232.8381,170.3065262,294.5521545
11,50,232.06395,169.6219749,294.0785141
11,55,232.08015,168.9616013,294.7129822
