,,median,25_percentile,75_percentile
0,0,7.1799526,3.061610937,13.61743736
0,5,7.1258993,2.963727295,13.50103354
0,10,7.069742,2.939405143,13.5062201
0,15,7.057145,2.906211853,13.32945967
0,20,7.011879,2.836034238,13.19123268
0,25,6.9715242,2.769134283,13.03755569
0,30,6.8621974,2.790680468,12.89358807
0,35,6.7917824,2.739864469,12.651016
0,40,6.711553,2.675224125,12.57090187
0,45,6.6344633,2.696125686,12.45460176
0,50,6.547104,2.665988445,12.30462313
0,55,6.419976,2.662377656,12.27992296
1,0,6.443228,2.633249521,12.17524052
1,5,6.34379,2.575165927,12.25914717
1,10,6.3215704,2.581221461,12.22363663
1,15,6.384141,2.488577724,12.25064325
1,20,6.378536,2.472362578,12.29049277
1,25,6.30856,2.405560791,12.31915212
1,30,6.237302,2.359413683,12.2528429
1,35,6.1600084,2.380436242,12.01222086
1,40,6.1030407,2.343238235,11.84577799
1,45,6.0283256,2.253457725,11.79583263
1,50,5.917904,2.18877697,11.91704273
1,55,5.853948,2.101048946,11.81342649
2,0,5.7832575,2.052168012,11.68829894
2,5,5.7509856,2.089902282,11.52051687
2,10,5.711185,2.062050819,11.3193326
2,15,5.675686,1.978641629,11.03537226
2,20,5.6098423,1.960823089,11.09008884
2,25,5.5299444,1.880938828,11.17817569
2,30,5.462733,1.801754832,11.1110599
2,35,5.350007,1.791827172,11.05763078
2,40,5.2003217,1.747606039,10.89519811
2,45,5.1030703,1.753242582,10.80992484
2,50,4.987821,1.676520824,10.81213427
2,55,5.011481,1.685348719,10.65929484
3,0,4.889537,1.64120236,10.62578773
3,5,4.760584,1.621574432,10.50366902
3,10,4.6205645,1.541626692,10.40494633
3,15,4.6125374,1.48161146,10.28174543
3,20,4.551477,1.435757339,10.15549159
3,25,4.4882107,1.409026325,10.03523493
3,30,4.4039164,1.372466624,9.99507618
3,35,4.315044,1.305741191,9.911935329
3,40,4.230913,1.289565802,9.773387432
3,45,4.15475,1.178189635,9.680234194
3,50,4.0830145,1.12804541,9.528883457
3,55,3.9465575,1.066201866,9.453843594
4,0,3.954079,1.035992593,9.544570446
4,5,3.9658942,0.975554883,9.375650406
4,10,3.9186344,0.944452807,9.528301239
4,15,4.0332365,0.852519944,9.602672338
4,20,4.501608,1.11174795,10.47069168
4,25,4.8005686,1.238930613,10.62395477
4,30,5.153204,1.630577654,11.00743318
4,35,5.5458364,1.809333026,12.0277369
4,40,5.962988,1.958000302,12.52128243
4,45,6.4085827,1.981749266,13.0795002
4,50,6.6263256,2.20736599,13.97488499
4,55,6.975191,2.470720291,14.40692329
5,0,7.214994,2.554140568,15.46345448
5,5,8.181049,3.051831484,17.18900442
5,10,9.242428,3.800556123,19.3158679
5,15,10.492519,4.313221693,20.99514866
5,20,11.816978,4.663643599,22.89001942
5,25,13.077244,5.030065179,25.30715418
5,30,14.795572,5.263050795,27.08593369
5,35,16.28956,6.212297082,29.28772831
5,40,18.400434,6.878273726,31.68490314
5,45,20.10004,7.536952734,33.99698925
5,50,21.516205,8.157487869,36.14839458
5,55,23.34677,8.92197752,38.80546379
6,0,24.737625,9.581559658,41.65415001
6,5,26.526087,10.53582811,44.26652622
6,10,28.624706,11.37472963,46.842103
6,15,30.348522,12.53997564,49.57337761
6,20,32.307343,14.15186572,52.44947624
6,25,34.25261,15.31341052,55.31039429
6,30,36.270676,16.65298462,57.90174484
6,35,37.98801,17.99255228,60.3032198
6,40,39.75329,19.12983656,62.63380527
6,45,41.963734,20.71774912,66.06076241
6,50,43.70408,22.2998457,69.02436447
6,55,45.403343,24.01342964,72.1566391
