,,median,25_percentile,75_percentile
0,0,-25.945158,-37.77833462,-15.10099125
0,5,-25.876465,-37.65811634,-15.29525208
0,10,-26.332666,-37.48779583,-15.63719559
0,15,-26.386997,-37.32286453,-15.73546767
0,20,-26.24676,-37.19012737,-15.80506706
0,25,-26.099209,-37.07205582,-15.78430271
0,30,-26.155096,-36.84598446,-15.91577482
0,35,-26.129486,-36.58014488,-15.97405076
0,40,-26.03085,-36.61488819,-16.31856394
0,45,-25.823418,-36.34693527,-16.24814653
0,50,-25.792696,-36.29035473,-16.19594646
0,55,-25.537996,-36.42231178,-15.96449232
1,0,-25.581753,-36.33007336,-15.836586
1,5,-25.48503,-36.24688339,-15.81901479
1,10,-25.603535,-36.33174992,-15.49839091
1,15,-25.647406,-35.95053577,-15.3576591
1,20,-25.392654,-35.80257797,-15.30944633
1,25,-25.262749,-35.65223598,-15.33789492
1,30,-25.157827,-35.62538528,-15.33711553
1,35,-25.065277,-35.43779659,-15.40082169
1,40,-25.0526,-35.32274818,-15.24282527
1,45,-25.12948,-35.26143169,-15.05091286
1,50,-25.076712,-35.19659424,-15.17594004
1,55,-24.842918,-35.04071331,-14.90199065
2,0,-24.559193,-34.9541378,-14.6770575
2,5,-24.501896,-34.86584663,-14.85692811
2,10,-24.580269,-34.79086113,-15.21486473
2,15,-24.418,-34.73709965,-15.36089683
2,20,-24.302685,-34.65279388,-15.68461299
2,25,-24.307438,-34.58238506,-15.7931385
2,30,-24.396067,-34.55581093,-15.72612667
2,35,-24.413818,-34.5473938,-15.63037562
2,40,-24.630028,-34.33216476,-15.31101584
2,45,-24.566225,-34.24186516,-15.21468997
2,50,-24.58754,-34.07544899,-14.81457138
2,55,-24.718016,-34.25720787,-14.86006665
3,0,-24.614971,-34.12488937,-14.38631701
3,5,-25.243744,-34.22629929,-15.17739058
3,10,-25.536299,-34.88107967,-15.60939407
3,15,-25.79084,-35.57395744,-15.97538614
3,20,-26.396128,-35.79949951,-16.64964247
3,25,-26.987629,-36.45589352,-16.97096395
3,30,-27.616085,-36.93689442,-17.21067524
3,35,-27.802452,-37.27409172,-17.46619129
3,40,-28.04338,-37.62934971,-17.72496939
3,45,-28.3086,-37.96180534,-18.26796627
3,50,-28.555197,-38.47799873,-18.503232
3,55,-28.667385,-38.54021358,-18.81292105
4,0,-28.712944,-38.75679684,-18.92617702
4,5,-28.932148,-39.14347744,-19.12296724
4,10,-29.064302,-39.4008131,-19.15174913
4,15,-29.352434,-39.45986271,-19.18038845
4,20,-28.320858,-37.96393967,-17.79695368
4,25,-27.679268,-37.18871117,-17.04079676
