,,median,25_percentile,75_percentile
0,0,-22.827122,-33.79882145,-12.23820376
0,5,-22.834774,-33.69913578,-12.4729104
0,10,-22.866188,-33.45869064,-12.56859803
0,15,-23.051857,-33.12381744,-12.51133752
0,20,-23.05978,-32.70459843,-12.47263479
0,25,-22.940218,-32.54900169,-12.45491982
0,30,-22.818832,-32.64207935,-12.87322426
0,35,-22.713753,-32.69613934,-12.91510439
0,40,-22.65791,-32.70858574,-12.88003707
0,45,-22.551584,-32.74134064,-13.00802183
0,50,-22.513107,-32.61648846,-13.12690115
0,55,-22.35963,-32.60749817,-13.11795712
1,0,-22.322937,-32.51008511,-12.89483333
1,5,-22.29558,-32.32821178,-12.88146353
1,10,-22.39965,-32.16417408,-12.79104352
1,15,-22.25615,-32.07179642,-12.61334896
1,20,-22.145699,-32.18918705,-12.55740237
1,25,-22.080294,-32.19034767,-12.58992624
1,30,-21.962124,-31.70565891,-12.54381204
1,35,-21.841154,-31.53450346,-12.29727364
1,40,-21.922024,-31.43049765,-12.29013562
1,45,-21.746773,-31.42764997,-11.97807169
1,50,-21.682215,-31.39901733,-11.83436322
1,55,-21.744068,-31.07755613,-11.64602065
2,0,-21.640882,-30.92663622,-11.52458858
2,5,-21.41264,-30.78068495,-11.83414745
2,10,-21.26706,-30.86821747,-12.0956769
2,15,-21.089096,-30.84981632,-12.38060522
2,20,-21.184143,-30.73334408,-12.79973292
2,25,-21.144691,-30.67804527,-12.67465186
2,30,-21.335197,-30.51700687,-12.59404087
2,35,-21.366625,-30.47911501,-12.38438058
2,40,-21.574905,-30.45920753,-12.20853186
2,45,-21.565887,-30.57973576,-12.15954256
2,50,-21.501808,-30.53224277,-11.77410722
2,55,-21.499462,-30.60320568,-11.72522998
3,0,-21.549015,-30.25938272,-11.36175156
3,5,-22.118217,-30.60279894,-11.99693847
3,10,-22.492502,-31.05575848,-12.64451289
3,15,-22.703218,-31.5079751,-13.05312181
3,20,-23.209965,-31.97594929,-13.19539332
3,25,-23.660294,-32.44775486,-13.51088452
3,30,-24.10004,-32.78878021,-14.05403686
3,35,-24.334545,-33.2943325,-14.64049888
3,40,-24.824156,-33.72939777,-14.65367889
3,45,-25.036247,-34.23016071,-15.05033159
3,50,-25.181427,-34.51073647,-15.21039963
3,55,-25.28036,-34.80340004,-15.60974526
4,0,-25.4105,-35.47290611,-15.6389513
4,5,-25.780987,-35.74488354,-15.77863932
4,10,-26.041664,-36.21329212,-16.17727041
4,15,-26.297176,-36.43700886,-16.42814875
4,20,-25.231396,-34.65502357,-15.54441214
4,25,-24.83033,-33.84465981,-14.77623057
4,30,-24.102327,-33.37944603,-13.78579235
4,35,-23.183235,-32.8464241,-12.6619029
4,40,-22.501684,-32.24649143,-11.43840003
4,45,-22.021204,-31.76941156,-10.80213833
4,50,-20.943542,-30.83648825,-10.39482903
4,55,-20.11398,-30.18559027,-9.489034414
5,0,-18.927792,-29.7636652,-8.947924614
5,5,-16.479342,-27.1086235,-6.849759579
5,10,-13.766714,-24.97500086,-4.359857798
5,15,-10.86782,-22.48553467,-1.309508562
5,20,-8.116997,-20.74889994,2.357112467
5,25,-5.83687,-18.54768848,6.590635419
5,30,-2.8782582,-15.61703658,10.68902564
5,35,0.49974322,-12.68793988,14.87962341
5,40,3.5121589,-10.27851677,18.97482061
5,45,6.774975,-8.196147442,23.37968349
5,50,10.690426,-6.486582637,28.40819788
5,55,14.382948,-4.456883669,32.63934708
6,0,17.465702,-3.278333783,37.5505619
6,5,19.710886,-1.756131589,40.07133198
6,10,21.788002,0.483278036,42.8440218
6,15,23.878641,2.397846639,45.27831268
6,20,26.115894,3.929730833,46.9256506
6,25,28.442387,5.989124775,49.45470524
6,30,30.769562,8.420812607,52.05349064
6,35,33.2817,10.67539787,55.01562881
6,40,35.428593,13.67183733,58.17390442
