,,median,25_percentile,75_percentile
0,0,8.85996,3.435146272,16.6818428
0,5,8.653809,3.361357391,16.52701902
0,10,8.613721,3.262115717,16.26202154
0,15,8.527027,3.235089183,16.10576773
0,20,8.447727,3.103098392,15.85478973
0,25,8.344154,2.919246137,15.76906872
0,30,8.31861,2.801562846,15.46190357
0,35,8.180183,2.646323562,15.29799509
0,40,8.068863,2.459178329,15.1561439
0,45,7.9547424,2.337016821,14.99833417
0,50,7.9081345,2.183334291,14.79996324
0,55,7.7667766,2.079634964,14.60270119
1,0,7.678281,2.086841345,14.48068976
1,5,7.543394,2.116332412,14.35809469
1,10,7.443284,1.939391732,14.28527975
1,15,7.2695446,1.870902091,14.27450967
1,20,7.1711397,1.764658064,14.10100651
1,25,7.172492,1.681583494,13.97198176
1,30,7.092758,1.619726866,13.88758135
1,35,7.044484,1.56708768,13.86650848
1,40,7.022873,1.50109157,13.773772
1,45,6.9104633,1.259320289,13.66183829
1,50,6.918997,1.208346546,13.46815848
1,55,6.8087335,1.271559745,13.40481305
2,0,6.679728,1.266409844,13.30361676
2,5,6.6250305,1.024292931,13.07565761
2,10,6.517726,0.967667386,12.88986278
2,15,6.5849,0.826507747,12.81906819
2,20,6.468545,0.868044764,12.72947955
2,25,6.258956,0.715127289,12.50094151
2,30,6.176068,0.656965956,12.42075944
2,35,6.1154413,0.574451327,12.21202493
2,40,6.0496254,0.502512634,11.97169805
2,45,5.9168425,0.414930105,11.84781313
2,50,5.869835,0.358125813,11.71623921
2,55,5.737262,0.260457244,11.55234241
3,0,5.6630754,0.142845273,11.57017064
3,5,5.5026875,0.04946272,11.35960007
3,10,5.2248354,-0.084324114,11.28608966
3,15,5.0887556,-0.276154891,11.15325189
3,20,4.9610043,-0.332353771,11.12132001
3,25,4.7701283,-0.504799895,10.89667869
3,30,4.648738,-0.636108384,10.7270782
3,35,4.544592,-0.730132833,10.46170783
3,40,4.4233994,-0.828164369,10.32169533
3,45,4.3245716,-0.92720969,10.23415017
3,50,4.1644697,-1.057414174,10.18733859
3,55,3.9941835,-1.167404354,10.1750493
4,0,3.7824025,-1.223624766,10.11376214
4,5,3.5933259,-1.360605299,10.17070603
4,10,3.5074048,-1.442079693,10.16296268
4,15,3.31012,-1.518022627,10.22635818
4,20,3.9117312,-1.095598191,10.59289241
4,25,4.3935323,-0.896123856,10.72474742
4,30,4.52598,-0.308682576,11.07777739
4,35,4.9730206,-0.013818519,11.31731391
4,40,5.4412994,0.245590437,11.72303104
4,45,5.8417745,0.406636082,12.13708854
4,50,6.353631,0.641988784,12.51435065
4,55,6.686421,0.932330608,12.96895266
5,0,6.907099,1.06259656,13.3809092
5,5,8.135816,1.485329181,15.04163861
5,10,9.559847,2.654272437,16.30181408
5,15,10.841818,3.239777684,18.1508317
5,20,12.400454,4.181468964,20.30878162
5,25,13.678221,5.215285778,22.50200129
5,30,15.561037,6.565759301,24.56177711
5,35,17.201756,7.098418117,26.77561474
5,40,18.912077,8.390835047,28.81220961
5,45,20.726849,9.354613066,31.15631199
5,50,22.071815,10.34548879,33.42635155
5,55,24.620972,11.51559067,36.17949772
6,0,26.584202,12.04491711,38.90711498
6,5,28.550428,13.57933331,41.30407619
6,10,30.544666,15.33621716,43.61118889
6,15,32.42743,17.39515924,45.91862011
6,20,34.302723,19.13970613,48.47592258
6,25,36.500862,20.79083538,51.21032524
6,30,38.28053,22.95609379,54.11608505
6,35,40.02291,24.9639945,56.71627998
6,40,42.26986,26.56077766,59.51756287
6,45,44.602455,28.04776859,62.38980579
6,50,47.0336,29.802423,65.29480743
6,55,49.358486,31.75835323,68.3084507
7,0,51.889248,33.36289597,71.23198128
7,5,54.595352,35.18839169,74.59188652
7,10,57.248703,37.26738548,78.00761604
7,15,59.894028,39.21680641,81.50455475
7,20,62.75579,40.70141792,85.18257713
7,25,65.41652,42.23873615,88.88484955
7,30,68.51346,43.91813946,92.70317841
7,35,71.710815,45.79235458,96.99893379
7,40,74.95083,48.18758774,100.6721611
7,45,78.18561,49.93288803,104.7710094
7,50,81.30104,52.34221363,108.6015358
7,55,84.756,54.23087215,112.9659729
8,0,88.05406,56.24188423,116.9870796
8,5,92.03697,58.40176678,121.0085163
8,10,96.23804,61.96830845,124.8217392
8,15,99.932144,64.84494209,129.4150658
8,20,104.00009,67.6205864,133.6732216
8,25,108.20443,69.78574562,137.788372
