,,median,25_percentile,75_percentile
0,0,8.070244,3.115234315,14.32472205
0,5,7.980628,3.150636733,14.1535089
0,10,7.854164,3.035510421,13.94951177
0,15,7.703952,2.943522871,13.87809539
0,20,7.6600027,2.810274601,13.62680125
0,25,7.584232,2.744702339,13.40885615
0,30,7.516315,2.663735986,13.2472651
0,35,7.401812,2.508003175,13.18800712
0,40,7.26516,2.372144341,13.12632918
0,45,7.185413,2.246440768,12.98426127
0,50,7.0517125,2.165037096,12.74738622
0,55,6.8857017,2.093873441,12.60542274
1,0,6.7378197,2.077510417,12.43304276
1,5,6.5965595,2.02091682,12.45779347
1,10,6.471957,2.056983173,12.32551026
1,15,6.3563538,1.975619823,12.21070766
1,20,6.2911243,1.909437448,12.06852365
1,25,6.2936544,1.838561267,11.92107868
1,30,6.185108,1.767983705,11.84804225
1,35,6.2622023,1.707532495,11.65696478
1,40,6.181738,1.634338826,11.65086293
1,45,6.162154,1.571168125,11.51045966
1,50,6.137334,1.497545719,11.3883853
1,55,6.130927,1.394469559,11.41356397
2,0,6.041812,1.315121353,11.45065022
2,5,5.9861345,1.215368837,11.36279321
2,10,5.957111,1.108147591,11.15359521
2,15,5.8212767,0.990086779,11.0005126
2,20,5.829658,0.878354311,10.80103254
2,25,5.6775055,0.777640104,10.63520956
2,30,5.535119,0.696618184,10.44448709
2,35,5.467766,0.648905024,10.29248142
2,40,5.397476,0.562273487,10.38317204
2,45,5.242654,0.55649633,10.30930638
2,50,5.142854,0.510728456,10.24188066
2,55,5.043735,0.408467956,10.22870445
3,0,4.8633347,0.30646082,9.989703894
3,5,4.7715664,0.208870471,9.84203577
3,10,4.600782,0.092779948,9.780453205
3,15,4.513526,-0.089843063,9.549063444
3,20,4.3832808,-0.209272005,9.460113049
3,25,4.272423,-0.305762567,9.369693756
3,30,4.1403065,-0.385786228,9.375229597
3,35,4.0147605,-0.479929589,9.46559
3,40,3.8511577,-0.546776071,9.344493151
3,45,3.8011155,-0.66794768,9.129343748
3,50,3.6892338,-0.78683193,9.151725292
3,55,3.5433226,-0.894688442,9.073340654
4,0,3.4622178,-1.038416684,8.912163973
4,5,3.286,-1.113610476,8.868450165
4,10,3.1366253,-1.17638278,8.723332882
4,15,3.0067496,-1.264044613,8.582784653
4,20,3.3012064,-0.922065377,8.870120049
4,25,3.7178304,-0.738506839,9.291676283
4,30,4.0354314,-0.314543009,9.628749132
4,35,4.3637667,0.018091377,10.0099957
4,40,4.716167,0.374170542,10.52949572
4,45,4.9496,0.365420371,10.76437879
4,50,5.6937733,0.709101915,11.2269063
4,55,5.9853506,0.779599041,11.57047772
5,0,6.3219786,1.037763417,12.00216651
5,5,7.3688297,1.520838082,13.35440421
5,10,8.331592,2.215541601,14.51914072
5,15,9.09778,2.770959139,16.48122597
5,20,10.710741,3.561439753,18.79261637
5,25,11.940866,4.58409059,20.86608887
5,30,13.483372,5.416569948,23.17303371
5,35,15.074446,6.26258719,25.28502321
5,40,16.780941,7.015627623,27.5275054
5,45,18.505743,8.322017193,29.45701838
5,50,20.062412,8.972739458,31.35351133
5,55,22.158497,10.06220651,34.14002132
6,0,24.083817,10.84999466,36.82519436
6,5,25.937428,12.43677354,39.10603714
6,10,27.841572,14.06678605,41.35076714
6,15,29.525852,15.57151461,43.33880424
6,20,31.51324,17.33301687,45.89498806
6,25,33.906494,19.12877893,48.3988409
6,30,35.978653,20.5600853,50.60073853
6,35,37.762947,22.45724869,53.18910599
6,40,39.056877,24.13901806,55.74792385
6,45,41.067154,25.86430502,58.16787243
6,50,43.24576,27.33418179,60.97997665
6,55,45.601406,28.84536982,64.11487961
7,0,47.95034,30.5003376,67.14267159
7,5,50.08464,32.02651262,69.97640038
7,10,52.444412,33.49124718,73.25992012
7,15,55.028244,34.5438509,76.64889908
7,20,57.95175,36.27689457,80.3770771
7,25,60.974197,38.23548317,84.34518623
7,30,63.914185,40.14149475,87.96497726
7,35,67.22264,41.50335693,91.53795242
7,40,70.10992,43.86023808,95.71161842
7,45,73.25954,46.12445354,99.3706665
7,50,76.65633,47.81771564,103.1674366
7,55,80.11366,50.13705063,107.0956135
8,0,83.63301,52.26227951,111.1069622
8,5,87.552414,54.99688816,115.1269836
8,10,91.37575,57.43138981,118.7561798
8,15,94.87279,60.03218651,122.7134991
8,20,98.53662,63.09581566,126.4506435
8,25,102.296684,65.95952988,130.4066887
8,30,106.79534,68.67470741,134.3988304
8,35,111.54826,71.37157631,138.748291
8,40,115.57739,73.66651344,142.958847
8,45,119.63925,76.41895866,147.3726387
8,50,123.835464,79.52847099,151.6694145
8,55,128.31595,83.01031303,156.7869301
9,0,132.38591,86.26574898,160.9351578
9,5,135.5459,88.42486382,164.8967896
9,10,139.09955,90.53319359,168.6474533
9,15,142.32727,92.94389534,172.6381378
9,20,145.72342,95.52781296,176.3400383
9,25,148.67807,98.17093658,180.3998032
